county_fips,county_name,population,population_2022,population_2023,population_growth_rate,percent_age_65_plus,diabetes_prevalence,primary_care_physicians,pcp_per_10000,other_pcp_per_10000,median_household_income,growth_score,age65_score,diabetes_score,pcp_shortage_score,other_pcp_shortage_score,income_score,eligible_market,score_balanced,rank_balanced,score_healthcare_need_focus,rank_healthcare_need_focus,score_growth_focus,rank_growth_focus,top10_scenarios,stable_top10
12065,Jefferson,15450,15042,15450,2.71240526525728,25.15210356,11.7,4.0,2.748196,1.941748,59967,71.64179104477611,68.65671641791045,63.43283582089553,81.53846153846153,98.50746268656717,40.298507462686565,False,71.27037887485648,,73.92939150401837,,69.84270952927669,,0,False
12067,Lafayette,8078,7786,8078,3.750321089134344,18.816538747,12.8,1.0,1.193033,6.189651,58096,91.04477611940298,31.343283582089555,85.07462686567165,93.84615384615384,88.05970149253731,34.32835820895522,False,72.79908151549942,,75.02870264064293,,73.10677382319172,,0,False
12075,Levy,46545,45260,46545,2.8391515687140965,25.53013213,10.3,5.0,1.132298,8.378988,53214,74.6268656716418,73.13432835820896,37.3134328358209,95.38461538461539,79.1044776119403,17.91044776119403,False,65.12169919632606,,68.02525832376578,,65.72560275545351,,0,False
12077,Liberty,7706,7603,7706,1.3547283966855188,17.687516221,12.4,,,9.083831,51523,29.850746268656714,25.37313432835821,78.35820895522389,,71.64179104477611,11.940298507462686,False,,,,,,,0,False
12079,Madison,18519,18198,18519,1.763930102209034,22.944003456,14.0,2.0,1.093613,9.719747000000002,52713,49.25373134328358,56.71641791044776,95.52238805970148,96.92307692307692,64.17910447761194,16.417910447761194,False,64.16073478760046,,74.82778415614236,,58.71756601607348,,0,False
12093,Okeechobee,41427,40412,41427,2.5116302088488567,20.938035581,12.6,17.0,4.221924,11.345258,54297,65.67164179104478,46.26865671641791,80.59701492537313,61.53846153846153,50.74626865671642,22.388059701492537,False,55.44202066590126,,60.086107921928814,,55.648679678530414,,0,False
12121,Suwannee,46130,45411,46130,1.5833168175111756,22.371558639,11.3,6.0,1.348769,8.454368,56009,41.7910447761194,55.223880597014926,55.223880597014926,92.3076923076923,77.61194029850746,31.343283582089555,False,59.730195177956375,,65.31572904707232,,54.74167623421355,,0,False
12123,Taylor,21582,21283,21582,1.404877131983273,22.148086368,12.1,10.0,4.584002,15.753869,50556,31.343283582089555,53.73134328358209,73.88059701492537,55.38461538461538,25.373134328358205,4.477611940298507,False,40.96498277841561,,50.226750861079225,,37.9345579793341,,0,False
12125,Union,15532,15460,15532,0.4657179818887452,16.2760752,12.4,5.0,3.060912,7.725985,60843,8.955223880597014,13.432835820895523,78.35820895522389,78.46153846153845,82.08955223880596,41.7910447761194,False,49.834098737083806,,57.19001148105625,,39.23191733639494,,0,False
12129,Wakulla,36449,35178,36449,3.613053613053613,17.287168372,10.3,11.0,3.1709430000000003,5.212763,72916,85.07462686567165,20.8955223880597,37.3134328358209,73.84615384615384,94.02985074626866,68.65671641791045,False,64.91848450057405,,58.0137772675086,,67.42020665901263,,0,False
12133,Washington,25602,25414,25602,0.7397497442354608,18.982891962,11.7,8.0,3.145149,10.546051,54678,14.925373134328357,32.83582089552239,63.43283582089553,75.38461538461539,56.71641791044777,26.865671641791046,False,45.03960964408726,,52.61481056257176,,37.501722158438575,,0,False
